Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
G22	1.98e-05	11		15	0.7676666666666666	25	4.5e-05
G23	1.98e-05	11	10618.153910563604	13	0.729	32	5.76e-05
G24	1.98e-05	11	19383.959263987723	12	0.7806666666666667	32	5.76e-05
H1	1.98e-05	11	11388.744752471679	15	0.773	32	5.76e-05
H2	1.98e-05	11	9075.03045393203	12	0.8140000000000001	32	5.76e-05
H3	1.98e-05	11	7770.174780949586	15	0.7543333333333333	32	5.76e-05
H4	1.8e-05	10	6756.52881239796	11	0.8493333333333334	32	5.76e-05
H5	1.98e-05	11	7058.118158799499	15	0.755	32	5.76e-05
H6	1.98e-05	11	5571.835504455502	16	0.7533333333333333	32	5.76e-05
H7	1.8e-05	10	19126.768542342692	11	1.1516666666666666	29	5.22e-05
H8	1.8e-05	10	79007.47994576705	10	0.7833333333333333	27	4.86e-05
H9	1.98e-05	11		23	0.735	32	5.76e-05
H10	1.98e-05	11	66662.66811352808	11	0.7296666666666667	29	5.22e-05
H11	1.8e-05	10		14	0.871	18	3.24e-05
H12	1.98e-05	11	69278.84895772567	11	0.7186666666666666	27	4.86e-05
H13	1.98e-05	11	5577.084253585232	17	0.9806666666666666	29	5.22e-05
H14	1.98e-05	11	7674.556281182886	12	0.8973333333333334	29	5.22e-05
H15	1.98e-05	11	8134.235633286798	15	0.7876666666666668	32	5.76e-05
H16	1.98e-05	11	4894.934874235502	17	0.8493333333333334	32	5.76e-05
H17	1.98e-05	11		15	0.8109999999999999	25	4.5e-05
H18	2.52e-05	14	4894.523801516515	15	0.574	31	5.58e-05
H19	1.98e-05	11	4030.468768325945	16	0.774	32	5.76e-05
H20	1.98e-05	11	7453.020008576622	15	0.753	32	5.76e-05
H21	1.98e-05	11	76898.74245137304	11	0.778	26	4.68e-05
H22	1.98e-05	11	3389.42654676082	17	0.6646666666666666	32	5.76e-05
H23	1.98e-05	11	74476.99769987687	11	0.7363333333333334	32	5.76e-05
H24	1.98e-05	11	13696.926454712133	15	0.7213333333333333	32	5.76e-05
I1	1.98e-05	11	12891.077547738998	12	0.7723333333333334	32	5.76e-05
