	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
330	N19	1.26e-05	7	-3830.8819473486365	12	0.698	32	5.76e-05
331	N20	1.26e-05	7	-148.5605380192816	10	0.7546666666666666	32	5.76e-05
332	N21	1.08e-05	6	18558.126911683972	15	0.8286666666666666	30	5.4e-05
333	N22	1.26e-05	7	3596.73135921296	10	0.6486666666666667	32	5.76e-05
334	N23	1.08e-05	6	-3196.0476969607794	12	0.6789999999999999	32	5.76e-05
335	N24	1.26e-05	7	24376.561565691994	13	0.7193333333333333	32	5.76e-05
336	O1	1.08e-05	6	25338.000867975166	12	0.7676666666666666	32	5.76e-05
337	O2	1.26e-05	7	11538.335391794142	15	0.7966666666666667	32	5.76e-05
338	O3	1.26e-05	7	9078.915481598175	11	0.6726666666666666	32	5.76e-05
339	O4	1.08e-05	6	8694.7643377845	14	0.8193333333333332	30	5.4e-05
340	O5	1.26e-05	7	1863.084796197373	11	0.735	32	5.76e-05
341	O6	1.08e-05	6	10611.895211230798	11	0.757	32	5.76e-05
342	O7	1.26e-05	7	26518.001492554977	12	0.7316666666666666	32	5.76e-05
343	O8	1.26e-05	7	20342.04226143091	10	0.7973333333333333	32	5.76e-05
344	O9	1.08e-05	6	8367.07615186471	12	0.7113333333333333	32	5.76e-05
345	O10	1.08e-05	6	219332.70831983347	8	0.7223333333333333	32	5.76e-05
346	O11	1.08e-05	6	150482.70566049684	9	0.6633333333333334	32	5.76e-05
347	O12	1.08e-05	6	24582.689744553547	10	0.7133333333333333	32	5.76e-05
348	O13	1.08e-05	6	-3282.799107204109	11	0.895	32	5.76e-05
349	O14	1.08e-05	6	46080.12036648687	12	0.8253333333333334	31	5.58e-05
350	O15	1.08e-05	6	185126.05714060718	9	0.662	32	5.76e-05
351	O16	1.26e-05	7	27110.73164913296	12	0.707	32	5.76e-05
352	O17	1.26e-05	7	37153.50941104258	12	0.8676666666666667	32	5.76e-05
353	O18	1.26e-05	7	-21.565912780638126	11	0.7606666666666667	27	4.86e-05
354	O19	1.26e-05	7	4233.780743423995	10	0.6846666666666668	32	5.76e-05
355	O20	1.08e-05	6	37659.69051621167	11	0.697	32	5.76e-05
356	O21	1.08e-05	6	36621.580090150914	11	0.8496666666666667	32	5.76e-05
357	O22	1.08e-05	6	33226.64833083362	11	0.7766666666666667	32	5.76e-05
358	O23	1.26e-05	7	32289.519387586606	11	0.6866666666666666	32	5.76e-05
359	O24	1.08e-05	6	26435.88589385671	15	0.7756666666666666	32	5.76e-05
360	P1	1.44e-05	8	16586.004785870027	13	0.7556666666666666	32	5.76e-05
361	P2	1.08e-05	6	19568.292768867937	14	0.75	32	5.76e-05
362	P3	1.08e-05	6	13167.34555738561	18	0.6873333333333335	32	5.76e-05
363	P4	1.08e-05	6	31324.357518352655	11	0.7883333333333334	32	5.76e-05
364	P5	1.26e-05	7	12554.980307315282	16	0.7196666666666666	32	5.76e-05
365	P6	1.08e-05	6	33094.26062093679	13	0.7336666666666667	32	5.76e-05
366	P7	1.08e-05	6	36223.55752779574	13	0.9843333333333334	20	3.6e-05
367	P8	1.26e-05	7	36520.56912240677	10	0.7583333333333333	32	5.76e-05
368	P9	1.26e-05	7	11394.363450416538	16	0.6963333333333334	32	5.76e-05
369	P10	1.26e-05	7	13569.950240024385	16	0.7003333333333334	32	5.76e-05
370	P11	1.08e-05	6	18911.901727274988	12	0.7440000000000001	22	3.96e-05
371	P12	1.08e-05	6	45237.87851239385	11	0.6803333333333333	32	5.76e-05
372	P13	1.26e-05	7	21593.187826832564	17	0.887	32	5.76e-05
373	P14	1.26e-05	7	14556.972303975266	15	0.809	32	5.76e-05
374	P15	1.26e-05	7	35612.55312862891	12	0.6873333333333332	32	5.76e-05
375	P16	1.08e-05	6	15743.285749482844	15	0.7753333333333333	32	5.76e-05
376	P17	1.08e-05	6	53254.942144702356	10	0.839	31	5.58e-05
377	P18	1.44e-05	8	26794.0227115719	13	0.49433333333333335	32	5.76e-05
378	P19	1.08e-05	6	30841.399482312718	12	0.7176666666666667	32	5.76e-05
379	P20	1.08e-05	6	35542.377641901374	12	0.735	32	5.76e-05
380	P21	1.08e-05	6	61444.848040848825	11	0.831	32	5.76e-05
381	P22	1.26e-05	7	44775.87862604394	11	0.6466666666666666	32	5.76e-05
382	P23	1.08e-05	6	14458.54778868646	16	0.6423333333333333	32	5.76e-05
383	P24	1.26e-05	7	20643.720706364413	13	0.6859999999999999	31	5.58e-05
