	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
115	E18	12600.0	7.0	3.493450254122858e-05	10.0	0.8610000000000001	48	86400.0
116	E19	14400.0	8.0	4.512480622001599e-06	21.0	0.8016666666666667	48	86400.0
117	E20	12600.0	7.0	1.7649313539111795e-05	17.0	0.9086666666666666	48	86400.0
118	E21	10800.0	6.0	3.498153661017256e-05	17.0	0.9716666666666667	42	75600.0
119	E22	14400.0	8.0	1.0873495526385782e-05	19.0	0.8569999999999999	48	86400.0
120	E23	12600.0	7.0	2.91918460717454e-05	13.0	0.9406666666666667	48	86400.0
121	E24	16200.0	9.0	1.72114806265259e-05	18.0	1.04	47	84600.0
122	F1	12600.0	7.0	3.350482013123792e-05	13.0	0.8923333333333333	46	82800.0
123	F2	14400.0	8.0	8.064434580353394e-06	19.0	0.8613333333333334	48	86400.0
124	F3	14400.0	8.0	9.094336112038761e-06	17.0	0.8353333333333333	48	86400.0
125	F4	12600.0	7.0	3.472825351152363e-05	10.0	0.8933333333333334	39	70200.0
126	F5	14400.0	8.0	9.91530758799744e-06	16.0	0.868	48	86400.0
127	F6	14400.0	8.0	4.951627201680207e-06	18.0	0.8616666666666667	48	86400.0
128	F7	14400.0	8.0	3.175184442840501e-06	15.0	1.21	35	63000.0
129	F8	14400.0	8.0	3.715910758186935e-05	10.0	0.8626666666666667	37	66600.0
130	F9	12600.0	7.0	4.60869194629566e-05	10.0	0.8996666666666666	48	86400.0
131	F10	14400.0	8.0	8.39930788682424e-06	16.0	0.8463333333333333	48	86400.0
132	F11	14400.0	8.0	8.684485268298e-06	15.0	1.125	26	46800.0
133	F12	16200.0	9.0	1.1173485293447017e-05	16.0	0.9010000000000001	48	86400.0
134	F13	12600.0	7.0	4.130339920448828e-05	12.0	0.923	33	59400.0
135	F14	12600.0	7.0	7.558585381987646e-06	19.0	0.8249999999999998	48	86400.0
136	F15	10800.0	6.0	4.3357113385690694e-05	10.0	0.9116666666666667	48	86400.0
137	F16	12600.0	7.0	5.462443741283522e-05	10.0	0.9143333333333334	48	86400.0
138	F17	10800.0	6.0	2.1533137809355685e-05	12.0	0.926	37	66600.0
139	F18	14400.0	8.0	1.2376178656860396e-05	12.0	0.6869999999999999	33	59400.0
140	F19	14400.0	8.0	7.444471911245354e-06	16.0	0.8543333333333333	48	86400.0
141	F20	14400.0	8.0	3.3549730525405728e-06	19.0	0.882	48	86400.0
142	F21	12600.0	7.0	2.6303499352427293e-05	15.0	0.9463333333333331	48	86400.0
143	F22					0.09133333333333334	39	70200.0
144	F23	3600.0	2.0	2.1705488343211067e-05	7.0	0.40633333333333327	48	86400.0
145	F24					0.09133333333333334	14	25200.0
146	G1	14400.0	8.0	8.619672571411011e-06	18.0	0.9193333333333333	48	86400.0
147	G2	14400.0	8.0	6.062823197512684e-05	10.0	0.8833333333333333	48	86400.0
148	G3	14400.0	8.0	4.505935427097147e-05	10.0	0.8476666666666667	48	86400.0
149	G4	12600.0	7.0	4.093865149942193e-05	11.0	1.045	23	41400.0
150	G5	14400.0	8.0	1.0522966499413181e-05	16.0	0.8423333333333334	48	86400.0
151	G6	12600.0	7.0	8.968664098313914e-06	16.0	0.8056666666666666	48	86400.0
152	G7	12600.0	7.0	6.163315270293329e-06	19.0	0.8673333333333334	48	86400.0
153	G8	14400.0	8.0	3.687034907661065e-05	12.0	0.947	23	41400.0
154	G9	12600.0	7.0	4.399043614281724e-05	11.0	0.8159999999999998	48	86400.0
155	G10	12600.0	7.0	9.7177801652925e-06	16.0	0.801	48	86400.0
156	G11	14400.0	8.0	1.3700933199739991e-05	13.0	0.5456666666666667	28	50400.0
157	G12	12600.0	7.0	6.421484068386142e-06	16.0	0.979	45	81000.0
