	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
173	H4	12600.0	7.0	1.644937181440049e-05	11.0	0.8493333333333334	32	57600.0
174	H5	10800.0	6.0	1.1682321005624869e-05	15.0	0.755	32	57600.0
175	H6	12600.0	7.0	4.88548193146958e-06	10.0	0.7533333333333333	32	57600.0
176	H7	10800.0	6.0	3.502716451519058e-05	10.0	1.1516666666666666	29	52200.0
177	H8	12600.0	7.0	6.3071777360692696e-06	15.0	0.7833333333333333	27	48600.0
178	H9	12600.0	7.0	1.826760383004723e-06	12.0	0.735	32	57600.0
179	H10	12600.0	7.0	-4.612894296602709e-06	10.0	0.7296666666666667	29	52200.0
180	H11	12600.0	7.0		14.0	0.871	18	32400.0
181	H12	12600.0	7.0	2.9150865857762504e-06	11.0	0.7186666666666666	27	48600.0
182	H13	10800.0	6.0	3.8980321004279936e-05	10.0	0.9806666666666666	29	52200.0
183	H14	10800.0	6.0	3.4689361944051485e-05	10.0	0.8973333333333334	29	52200.0
184	H15	12600.0	7.0	1.1513277932886624e-05	15.0	0.7876666666666668	32	57600.0
185	H16	12600.0	7.0	2.983841570341912e-05	10.0	0.8493333333333334	32	57600.0
186	H17	12600.0	7.0	1.6749739159745813e-06	11.0	0.8109999999999999	25	45000.0
187	H18	16200.0	9.0	7.498035511981473e-06	15.0	0.574	31	55800.0
188	H19	12600.0	7.0	9.669902769573952e-06	16.0	0.774	32	57600.0
189	H20	12600.0	7.0	1.6097448424409186e-05	10.0	0.753	32	57600.0
190	H21	12600.0	7.0	7.2217302280173e-06	11.0	0.778	26	46800.0
191	H22	10800.0	6.0	8.047259363254828e-05	10.0	0.6646666666666666	32	57600.0
192	H23	12600.0	7.0	8.947395662520955e-06	16.0	0.7363333333333334	32	57600.0
193	H24	12600.0	7.0	1.4418351285834868e-05	15.0	0.7213333333333333	32	57600.0
194	I1	10800.0	6.0	6.3190478773192e-05	11.0	0.7723333333333334	32	57600.0
195	I2	10800.0	6.0	1.093697830272425e-05	16.0	0.8249999999999998	32	57600.0
196	I3	12600.0	7.0	1.2004291217766235e-05	16.0	0.746	32	57600.0
197	I4	12600.0	7.0	3.8045747082253664e-05	10.0	0.8653333333333334	25	45000.0
198	I5	10800.0	6.0	2.24049028103499e-05	11.0	0.7826666666666666	32	57600.0
199	I6	12600.0	7.0	-2.304277529548253e-07	10.0	0.7503333333333334	32	57600.0
200	I7	12600.0	7.0	1.0835493729423433e-05	10.0	0.7166666666666667	32	57600.0
201	I8	12600.0	7.0	1.0175015231465624e-06	14.0	0.8223333333333334	22	39600.0
202	I9	12600.0	7.0	1.4343452642067716e-05	10.0	0.706	30	54000.0
203	I10	12600.0	7.0	-2.5926303632765106e-06	10.0	0.722	32	57600.0
204	I11	10800.0	6.0	5.593201452698313e-05	10.0	0.7120000000000001	29	52200.0
205	I12	10800.0	6.0	2.4339523429635446e-05	11.0	0.7440000000000001	24	43200.0
206	I13	10800.0	6.0	1.9016781849609996e-05	17.0	1.0503333333333333	32	57600.0
207	I14	12600.0	7.0	5.598581862639125e-05	11.0	0.967	31	55800.0
208	I15	14400.0	8.0	1.0785723932041908e-05	11.0	0.7446666666666667	32	57600.0
209	I16	12600.0	7.0	2.122528751656038e-06	12.0	0.7946666666666667	32	57600.0
210	I17	12600.0	7.0	1.5012926390221593e-05	11.0	0.8336666666666667	30	54000.0
211	I18	12600.0	7.0	1.8791231138358148e-05	11.0	0.8046666666666668	25	45000.0
212	I19	12600.0	7.0	1.1458568764842999e-05	10.0	0.702	32	57600.0
213	I20	10800.0	6.0	7.647913322052652e-06	15.0	0.7320000000000001	32	57600.0
214	I21	10800.0	6.0	5.4706485481684355e-05	10.0	0.8289999999999998	32	57600.0
215	I22	12600.0	7.0	1.152492166579495e-05	16.0	0.7756666666666666	24	43200.0
216	I23	10800.0	6.0	4.8682031936452214e-05	11.0	0.7613333333333333	32	57600.0
217	I24	10800.0	6.0	1.9802130831973196e-05	14.0	0.8203333333333332	32	57600.0
218	J1	10800.0	6.0	1.1504323966010694e-05	15.0	0.7796666666666666	32	57600.0
219	J2	10800.0	6.0	4.324899271492632e-05	10.0	0.8583333333333334	32	57600.0
220	J3	12600.0	7.0	1.9817864365689268e-06	11.0	0.7389999999999999	32	57600.0
221	J4	12600.0	7.0	1.0245423902592217e-05	11.0	0.815	28	50400.0
222	J5	12600.0	7.0	-1.9716449005059854e-06	12.0	0.7393333333333333	32	57600.0
223	J6	10800.0	6.0	2.5488810717129674e-05	11.0	0.7760000000000001	32	57600.0
224	J7	12600.0	7.0	4.728220986749004e-06	10.0	1.1536666666666668	31	55800.0
225	J8	12600.0	7.0	9.247611139025164e-06	14.0	0.8010000000000002	28	50400.0
226	J9	10800.0	6.0	2.8066278780743687e-05	10.0	0.7236666666666668	31	55800.0
227	J10	12600.0	7.0	4.111382532054249e-06	11.0	0.7479999999999999	32	57600.0
228	J11	12600.0	7.0	4.866528983889923e-05	10.0	0.8666666666666666	19	34200.0
229	J12	12600.0	7.0	2.8326235849592244e-06	11.0	0.7216666666666667	31	55800.0
230	J13	10800.0	6.0	1.1634036402801477e-05	17.0	0.972	29	52200.0
231	J14	10800.0	6.0	3.521264490691336e-05	10.0	0.8853333333333334	29	52200.0
232	J15	12600.0	7.0	1.0861925216663803e-05	16.0	0.7826666666666666	32	57600.0
233	J16	10800.0	6.0	5.022995596401259e-05	10.0	0.8046666666666668	32	57600.0
234	J17	10800.0	6.0	1.3990023013316159e-05	15.0	0.8183333333333334	25	45000.0
235	J18	16200.0	9.0	-2.3316472753566516e-06	13.0	0.5553333333333333	30	54000.0
236	J19	10800.0	6.0	4.402859300731385e-06	15.0	0.7123333333333334	32	57600.0
237	J20	10800.0	6.0	8.112493620109881e-06	15.0	0.7656666666666666	32	57600.0
238	J21	10800.0	6.0	5.477148183475841e-05	10.0	0.7996666666666666	28	50400.0
239	J22	12600.0	7.0	-1.0520926845961528e-06	13.0	0.6893333333333334	32	57600.0
240	J23	10800.0	6.0	3.0418421516124186e-05	11.0	0.694	32	57600.0
241	J24	10800.0	6.0	2.812307914556021e-05	13.0	0.6996666666666668	32	57600.0
242	K1	12600.0	7.0	5.9364416464834525e-05	10.0	0.7716666666666666	32	57600.0
243	K2	10800.0	6.0	2.2123260224702587e-05	11.0	0.8566666666666666	32	57600.0
244	K3	12600.0	7.0	2.1752917320949267e-05	10.0	0.7186666666666666	32	57600.0
245	K4	10800.0	6.0	3.1252488677317286e-05	10.0	0.9163333333333333	26	46800.0
246	K5	12600.0	7.0	8.719828349397661e-06	11.0	0.795	32	57600.0
247	K6	10800.0	6.0	5.1041791730468764e-05	10.0	0.7453333333333333	32	57600.0
248	K7	12600.0	7.0	3.963666624162924e-06	12.0	0.733	32	57600.0
249	K8	10800.0	6.0	3.2281462602465566e-06	14.0	0.8423333333333334	24	43200.0
250	K9	14400.0	8.0	1.1184855484415328e-05	15.0	0.758	31	55800.0
251	K10	10800.0	6.0	5.002356263324399e-05	10.0	0.7403333333333334	32	57600.0
252	K11	12600.0	7.0	1.1285354260962487e-05	10.0	0.6823333333333333	31	55800.0
253	K12	12600.0	7.0	7.1576683598094545e-06	14.0	0.7676666666666666	23	41400.0
254	K13	12600.0	7.0	1.6274320936238983e-05	17.0	1.0433333333333332	32	57600.0
255	K14	10800.0	6.0	1.5074354364312298e-05	17.0	0.9256666666666667	30	54000.0
256	K15	12600.0	7.0	1.0971560990665267e-05	10.0	0.7559999999999999	32	57600.0
257	K16	10800.0	6.0	3.0221324237191398e-05	10.0	0.757	32	57600.0
258	K17	10800.0	6.0	1.4128290530292726e-05	16.0	0.8266666666666667	31	55800.0
259	K18	12600.0	7.0	5.24218705952028e-06	11.0	0.7720000000000001	25	45000.0
260	K19	12600.0	7.0	-3.480428351778971e-06	12.0	0.6836666666666668	32	57600.0
261	K20	12600.0	7.0	2.6275819206634408e-06	12.0	0.7183333333333333	32	57600.0
262	K21	10800.0	6.0	3.6404065500367465e-05	11.0	0.8210000000000001	32	57600.0
263	K22	10800.0	6.0	1.0031574169630299e-05	11.0	0.7706666666666667	24	43200.0
264	K23	10800.0	6.0	4.882420898743574e-05	10.0	0.7203333333333334	32	57600.0
265	K24	10800.0	6.0	5.7125298078480504e-05	11.0	0.8013333333333333	32	57600.0
266	L1	12600.0	7.0	1.1382426257271019e-05	15.0	0.75	32	57600.0
267	L2	10800.0	6.0	3.5794849006923775e-05	10.0	0.8023333333333333	32	57600.0
268	L3	10800.0	6.0	1.1518125990687178e-05	16.0	0.7156666666666666	32	57600.0
269	L4	12600.0	7.0	1.6685158176765994e-05	10.0	0.8166666666666665	32	57600.0
270	L5	10800.0	6.0	0.00017343868388103277	9.0	0.7200000000000001	32	57600.0
271	L6	10800.0	6.0	-8.101478854126735e-06	11.0	0.7240000000000001	32	57600.0
272	L7	10800.0	6.0	2.1678630800765593e-05	10.0	1.128	31	55800.0
273	L8	10800.0	6.0	4.914697093325346e-06	14.0	0.7549999999999999	32	57600.0
274	L9	12600.0	7.0	1.0269388142261883e-05	11.0	0.7106666666666666	31	55800.0
275	L10	10800.0	6.0	-8.99276849348765e-06	12.0	0.7126666666666667	32	57600.0
276	L11	10800.0	6.0		16.0	0.8266666666666667	18	32400.0
277	L12	10800.0	6.0	9.377345315921045e-06	11.0	0.7053333333333334	25	45000.0
278	L13	10800.0	6.0	4.3260884980724705e-05	11.0	0.9553333333333334	30	54000.0
279	L14	12600.0	7.0	7.152818021975151e-06	17.0	0.8836666666666666	29	52200.0
280	L15	10800.0	6.0	2.7846838969722596e-05	10.0	0.781	32	57600.0
281	L16	12600.0	7.0	3.4184338144963714e-05	10.0	0.8166666666666665	32	57600.0
282	L17	12600.0	7.0	1.5479115075405514e-06	11.0	0.7879999999999999	26	46800.0
283	L18	16200.0	9.0	7.289221980297151e-06	18.0	0.5626666666666668	30	54000.0
284	L19	12600.0	7.0	-1.2962709000664198e-05	11.0	0.7073333333333333	32	57600.0
285	L20	10800.0	6.0	4.901974588200743e-06	11.0	0.7253333333333334	32	57600.0
286	L21	10800.0	6.0	2.4266760969115464e-05	11.0	0.7936666666666667	29	52200.0
287	L22	10800.0	6.0	5.982497527624411e-05	10.0	0.6713333333333334	32	57600.0
288	L23	10800.0	6.0	6.893589415970703e-05	10.0	0.7013333333333333	32	57600.0
289	L24	12600.0	7.0	3.462154873609433e-05	11.0	0.6930000000000001	32	57600.0
290	M1	10800.0	6.0	1.3532760830753568e-05	16.0	0.7633333333333333	32	57600.0
291	M2	12600.0	7.0	1.3492828646182664e-05	11.0	0.815	32	57600.0
292	M3	12600.0	7.0	1.0781688751694584e-05	16.0	0.7263333333333334	32	57600.0
293	M4	10800.0	6.0	2.5325936607162425e-05	11.0	0.8496666666666667	25	45000.0
294	M5	10800.0	6.0	6.760636785645969e-05	10.0	0.7423333333333333	32	57600.0
295	M6	12600.0	7.0	-6.893670221153753e-06	10.0	0.7116666666666666	32	57600.0
296	M7	12600.0	7.0	4.564006588654297e-06	10.0	0.7076666666666666	32	57600.0
297	M8	12600.0	7.0	8.311363094274818e-06	11.0	0.8166666666666665	22	39600.0
298	M9	12600.0	7.0	1.1292196422193727e-05	15.0	0.706	32	57600.0
299	M10	12600.0	7.0	-1.2360776178275196e-06	10.0	0.7026666666666666	32	57600.0
300	M11	10800.0	6.0	-1.7129843988038035e-06	12.0	0.6893333333333334	29	52200.0
301	M12	10800.0	6.0	4.441831034076217e-06	14.0	0.7426666666666666	23	41400.0
302	M13	10800.0	6.0	2.0166664823651815e-05	10.0	1.0259999999999998	32	57600.0
303	M14	12600.0	7.0	5.7961517536098005e-05	11.0	0.9136666666666667	32	57600.0
304	M15	12600.0	7.0	-4.162165542802442e-06	11.0	0.7119999999999999	32	57600.0
305	M16	12600.0	7.0	3.2707869735329008e-06	11.0	0.8063333333333335	32	57600.0
306	M17	12600.0	7.0	1.023412850053479e-05	10.0	0.7846666666666667	30	54000.0
307	M18	12600.0	7.0	-2.5648878163769556e-06	11.0	0.749	24	43200.0
308	M19	10800.0	6.0		15.0	0.6103333333333333	17	30600.0
309	M20	12600.0	7.0	1.8704889901684683e-05	10.0	0.6803333333333335	32	57600.0
310	M21	12600.0	7.0	4.127319701870745e-05	10.0	0.802	32	57600.0
311	M22	12600.0	7.0	1.1969575065203139e-05	11.0	0.7503333333333333	24	43200.0
